"Version","Variable Order","Class","Dataset Name","Variable Name","Variable Label","Type","CDISC CT Codelist Code(s)","Described Value Domain(s)","Value List","Role","CDISC Notes","Core"
"SDTMIG v3.2","1","Special-Purpose","CO","STUDYID","Study Identifier","Char","",,"","Identifier","Unique identifier for a study.","Req"
"SDTMIG v3.2","2","Special-Purpose","CO","DOMAIN","Domain Abbreviation","Char","",,"CO","Identifier","Two-character abbreviation for the domain.","Req"
"SDTMIG v3.2","3","Special-Purpose","CO","RDOMAIN","Related Domain Abbreviation","Char","",,"","Record Qualifier","Two-character abbreviation for the domain of the parent record(s). Null for comments collected on a general comments or additional information CRF page.","Perm"
"SDTMIG v3.2","4","Special-Purpose","CO","USUBJID","Unique Subject Identifier","Char","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SDTMIG v3.2","5","Special-Purpose","CO","COSEQ","Sequence Number","Num","",,"","Identifier","Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.","Req"
"SDTMIG v3.2","6","Special-Purpose","CO","IDVAR","Identifying Variable","Char","",,"","Record Qualifier","Identifying variable in the parent dataset that identifies the record(s) to which the comment applies. Examples AESEQ or CMGRPID. Used only when individual comments are related to domain records. Null for comments collected on separate CRFs.","Perm"
"SDTMIG v3.2","7","Special-Purpose","CO","IDVARVAL","Identifying Variable Value","Char","",,"","Record Qualifier","Value of identifying variable of the parent record(s). Used only when individual comments are related to domain records. Null for comments collected on separate CRFs.","Perm"
"SDTMIG v3.2","8","Special-Purpose","CO","COREF","Comment Reference","Char","",,"","Record Qualifier","Sponsor-defined reference associated with the comment. May be the CRF page number (e.g. 650), or a module name (e.g. DEMOG), or a combination of information that identifies the reference (e.g. 650-VITALS-VISIT 2).","Perm"
"SDTMIG v3.2","9","Special-Purpose","CO","COVAL","Comment","Char","",,"","Topic","The text of the comment. Text over 200 characters can be added to additional columns COVAL1-COVALn. See Assumption 3.","Req"
"SDTMIG v3.2","10","Special-Purpose","CO","COEVAL","Evaluator","Char","",,"","Record Qualifier","Used to describe the originator of the comment. Examples: CENTRAL, REVIEWER, ADJUDICATION COMMITTEE, PRINCIPAL INVESTIGATOR.","Perm"
