"Version","Variable Order","Class","Dataset Name","Variable Name","Variable Label","Type","Controlled Terms, Codelist or Format","Role","Role Description","Description"
"SDTM v1.4","1","General Observations",,"STUDYID","Study Identifier","Char",,"Identifier","Identifier","Unique identifier for a study."
"SDTM v1.4","2","General Observations",,"DOMAIN","Domain Abbreviation","Char",,"Identifier","Identifier","Two-character abbreviation for the domain most relevant to the observation. The Domain abbreviation is also used as a prefix for variables to ensure uniqueness when datasets are merged."
"SDTM v1.4","3","General Observations",,"USUBJID","Unique Subject Identifier","Char",,"Identifier","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product."
"SDTM v1.4","4","General Observations",,"POOLID","Pool Identifier","Char",,"Identifier","Identifier","An identifier used to identify a result from a group of subjects that is not assignable to a specific subject."
"SDTM v1.4","5","General Observations",,"SPDEVID","Sponsor Device Identifier","Char",,"Identifier","Identifier","Sponsor-defined identifier for a device"
"SDTM v1.4","6","General Observations",,"--SEQ","Sequence Number","Num",,"Identifier","Identifier","Sequence number to ensure uniqueness of records within a dataset for a subject (or within a parameter, in the case of the Trial Summary domain). May be any valid number (including decimals) and does not have to start at 1."
"SDTM v1.4","7","General Observations",,"--GRPID","Group ID","Char",,"Identifier","Identifier","Optional group identifier, used to link together a block of related records within a subject in a domain. Also used to link together a block of related records in the Trial Summary dataset (Section 3.4)."
"SDTM v1.4","8","General Observations",,"--REFID","Reference ID","Char",,"Identifier","Identifier","Optional internal or external identifier such as lab specimen ID, or UUID for an ECG waveform or a medical image."
"SDTM v1.4","9","General Observations",,"--SPID","Sponsor-Defined Identifier","Char",,"Identifier","Identifier","Sponsor-defined identifier. Example: pre-printed line identifier on a Concomitant Medications page."
"SDTM v1.4","10","General Observations",,"--LNKID","Link ID","Char",,"Identifier","Identifier","Identifier used to link related records across domains. This may be a one-to-one or a one-to-many relationship. For Example: A single tumor may have multiple measurements/assessments performed at each study visit."
"SDTM v1.4","11","General Observations",,"--LNKGRP","Link Group ID","Char",,"Identifier","Identifier","Identifier used to link related records across domains. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record."
"SDTM v1.4","12","General Observations",,"VISITNUM","Visit Number","Num",,"Timing","Timing","Clinical encounter number. Numeric version of VISIT, used for sorting."
"SDTM v1.4","13","General Observations",,"VISIT","Visit Name","Char",,"Timing","Timing","Protocol-defined description of a clinical encounter."
"SDTM v1.4","14","General Observations",,"VISITDY","Planned Study Day of Visit","Num",,"Timing","Timing","Planned study day of VISIT. Should be an integer."
